abundance;abundancia
total spell learned;total de hechizos aprendidos
towel;toalla
trading;comerciar
trading skill;hab comercio
trait;rasgo
trap;trampa
troll blood;sangre de troll
troll form;forma de troll
tunic;túnica
unarmed;desarmado
unarmed bonus atk;bonus atq desarmado
unarmed skill;hab desarmado
unbreakable;irrompible
uncursed;corriente
undead;no muertos
undead slain;no muertos asesinados
undead within;no muertos dentro
underworld;inframundo
undying;inmortal
unidentified;inescrutable
unknown effect;efecto desconocido
unknown scroll;pergamino desconocido
unlearnable;indescifrable
unstable potion;poción inestable
upgradeable;mejorable
vampire;vampiro
vampire doublet;jubón de vampiro
vampiric curse;maldición vampírica
vandal;vándalo
vandalise;vandalizar
vandalised;vandalizado
vortex;vórtice
wanderer;andariego
wanderer ample food;sus abundantes provisiones
warm hat;gorro abrigado
warning;advertencia
warrior;guerrero
waterbreathing;respiración acuática
waterwalking;paso acuático
weakness;debilidad
wealth;riqueza
weapon bonus;bonus de arma
webbed;enmarañado
weight;peso
wgt;peso
welcome;bienvenido
whip;látigo
windgate;muro de viento
wise magician;mago erudito
wizard;mago
wizard doublet;jubón de mago
wizard hat;sombrero de mago
wizard robe;capa de mago
wolf hood;capucha de lobo
wonderlight;luz deslumbrante
wooden shield;escudo de madera
workbench;mesa de trabajo
worn;endeble
xp;exp
